x y z std sst
121.90 75.23 30.28  3.85 0
-90.01 34.69 16.18  5.50 0
-93.24 48.94 12.80  5.50 0
-93.24 48.94 37.70  5.60 0
-93.24 48.94 16.20  7.70 0
-59.72 -37.24  4.19  2.50 0
-59.72 -37.24 10.39  2.50 0
-59.72 -37.24  7.69  2.50 0
-108.02 55.31  4.82  2.50 0
-109.10 54.53 12.79  2.50 0
-109.10 54.53 16.32  2.85 0
-109.10 54.53 14.79  2.50 0
-109.10 54.53 20.76  3.40 0
-109.10 54.53 13.78  2.50 0
-113.54 60.80  9.76  3.60 0
-35.26 78.89 17.56  5.50 0
-105.57 56.19  7.00  3.60 0
-94.40 47.34  8.80  5.50 0
-94.40 47.34  5.30  3.10 0
-94.40 47.34 20.40  3.30 0
64.46  4.38 -1.87  2.85 0
129.16 -66.35 23.52  2.50 0
129.16 -66.35 26.12  2.50 0
61.73 -1.28  2.82  2.50 0
-56.48 -43.09  6.46  2.50 0
-56.48 -43.09 -0.14  4.00 0
-56.48 -43.09  5.86  2.50 0
-56.48 -43.09  9.66  6.20 0
-56.48 -43.09  3.06  4.80 0
-56.48 -43.09  8.56  2.50 0
-56.48 -43.09  8.26  2.50 0
150.86 -68.07 36.49  3.30 0
150.86 -68.07 34.89  2.50 0
150.86 -68.07 35.19  3.30 0
-107.09 56.75 11.18  3.60 0
-160.07 -54.90 13.53  7.20 0
-160.07 -54.90 17.13  5.35 0
11.08 68.87 23.04  4.10 0
-162.58 -56.24 25.76  2.50 0
-92.44 49.43 13.48  5.50 0
-106.73 55.23  4.82  2.50 0
-106.73 55.23  2.52  3.60 0
-108.45 53.29 12.86  2.50 0
-108.45 53.29 13.46  2.50 0
-106.65 55.86 16.82  3.60 0
-104.82 54.24  6.48  2.50 0
-104.82 54.24  6.08  4.00 0
-104.82 54.24  5.98  3.30 0
-104.82 54.24  8.38  3.60 0
-104.82 54.24  6.28  4.80 0
-104.63 54.11  5.78  2.50 0
-104.63 54.11  7.98  2.50 0
-56.50 -42.76  7.07  2.50 0
-56.50 -42.76  9.67  2.50 0
-56.50 -42.76  9.37  2.50 0
-57.12 -25.60 -10.19  2.50 0
-57.12 -25.60 -11.69  4.00 0
-94.06 41.50 16.49  5.50 0
 9.92 50.09 22.39  2.50 0
-90.26 34.15 11.67  4.50 0
-94.30 48.04  2.67  4.00 0
