x y z std sst
 2.70 49.58 21.02  2.55 1
121.90 75.23 30.28  3.85 0
-93.24 48.94 37.70  5.60 0
-93.24 48.94 16.20  7.70 0
-59.72 -37.24  4.19  2.50 0
-59.72 -37.24 10.39  2.50 0
-59.72 -37.24  7.69  2.50 0
-108.34 44.04 14.19  2.69 0
-108.21 44.87 11.19  2.69 0
-108.94 45.44  8.83  2.69 0
-108.34 44.04 14.99  2.69 0
-108.02 55.31  4.82  2.50 0
-109.10 54.53 12.79  2.50 0
-109.10 54.53 16.32  2.85 0
-109.10 54.53 14.79  2.50 0
-109.10 54.53 20.76  3.40 0
-109.10 54.53 13.78  2.50 0
-108.34 45.37  6.35  2.69 0
-113.54 60.80  9.76  3.60 0
-170.33 -63.62 30.25  2.62 1
-105.57 56.19  7.00  3.60 0
-108.23 44.88  3.82  2.69 0
-108.28 45.15  8.85  2.69 0
-94.40 47.34 20.40  3.30 0
 2.70 49.58 11.22  2.50 1
-74.29 35.07  6.27  5.00 0
64.46  4.38 -1.87  2.85 0
-162.78 -57.05 16.37  2.50 1
-162.78 -57.05 25.44  2.50 1
-162.78 -57.05 32.06  4.90 1
-74.27 34.86  6.96  2.50 1
-74.27 34.86 10.43  4.45 1
-108.23 44.94  2.42  2.69 0
129.16 -66.35 23.52  2.50 0
129.16 -66.35 26.12  2.50 0
129.16 -66.35 27.82  2.50 0
129.60 -66.49 34.31  4.22 1
-108.23 44.89 10.42  2.69 0
61.73 -1.28  2.82  2.50 0
60.96  1.41  7.33  2.55 1
-56.48 -43.09  6.46  2.50 0
-56.48 -43.09 -0.14  4.00 0
-56.48 -43.09  5.86  2.50 0
-56.48 -43.09  9.66  6.20 0
-56.48 -43.09  3.06  4.80 0
-56.48 -43.09  8.56  2.50 0
-56.48 -43.09  8.26  2.50 0
-108.20 42.36  5.45  2.50 1
150.86 -68.07 36.49  3.30 0
150.86 -68.07 34.89  2.50 0
150.86 -68.07 35.19  3.30 0
-107.09 56.75 11.18  3.60 0
-160.07 -54.90 13.53  7.20 0
-160.07 -54.90 17.13  5.35 0
-160.07 -54.90 17.92  2.50 0
-160.24 -54.88 24.47  4.98 1
-160.24 -54.88 23.21  2.50 1
-160.24 -54.88 30.57  4.64 1
-108.29 45.43 -0.47  2.69 0
160.06 -68.31 34.88  2.50 0
160.09 -68.31 33.98  4.67 1
-149.88  6.53  6.76  2.98 1
11.08 68.87 23.04  4.10 0
-31.69  6.06  9.17  4.46 1
-8.39  0.66  9.91  4.75 1
-162.58 -56.24 25.76  2.50 0
 1.38 47.37  9.11  2.75 1
-108.96 45.46 14.33  2.69 0
-108.22 45.50  6.63  2.69 0
-106.73 55.23  4.82  2.50 0
-106.73 55.23  2.52  3.60 0
-108.45 53.29 12.86  2.50 0
-108.45 53.29 13.46  2.50 0
-106.65 55.86 16.82  3.60 0
-104.82 54.24  6.48  2.50 0
-104.82 54.24  6.08  4.00 0
-104.82 54.24  5.98  3.30 0
-104.82 54.24  8.38  3.60 0
-104.82 54.24  6.28  4.80 0
-104.63 54.11  5.78  2.50 0
-104.63 54.11  7.98  2.50 0
-56.50 -42.76  7.07  2.50 0
-56.50 -42.76  9.67  2.50 0
-56.50 -42.76  9.37  2.50 0
 9.92 50.09 22.39  2.50 0
-108.28 45.05  6.42  2.69 0
71.58 53.60 16.17  4.03 1
-60.84 40.85 18.04  4.80 1
32.65 -16.77  7.37  4.20 1
32.65 -16.77  3.96  2.50 1
-159.20 -53.90 21.98  2.50 1
-159.00 -54.10 24.48  2.50 1
-90.26 34.15 11.67  4.50 0
-59.59 41.69  8.96  3.18 1
-59.59 41.69 17.20  4.11 1
-108.21 45.19  5.05  2.69 0
-108.25 44.99  6.42  2.69 0
