x y z std sst
 2.70 49.58 21.02  2.55 1
-170.33 -63.62 16.88  2.50 1
-170.33 -63.62 30.25  2.62 1
-170.47 21.21 -8.08  2.50 1
 2.70 49.58 11.22  2.50 1
-162.78 -57.05 16.37  2.50 1
-162.78 -57.05 25.44  2.50 1
-162.78 -57.05 32.06  4.90 1
-74.27 34.86  6.96  2.50 1
-74.27 34.86 10.43  4.45 1
129.60 -66.49 34.31  4.22 1
60.96  1.41  7.33  2.55 1
-108.20 42.36  5.45  2.50 1
-160.24 -54.88 24.47  4.98 1
-160.24 -54.88 23.21  2.50 1
-160.24 -54.88 30.57  4.64 1
160.09 -68.31 33.98  4.67 1
-9.37 46.22  6.80  2.50 1
-5.76 -62.30 12.69  5.04 1
72.33 -63.63 12.47  2.50 1
-149.88  6.53 -8.25  2.71 1
-149.88  6.53  6.76  2.98 1
-149.88  6.53 -2.38  2.51 1
-31.69  6.06  9.17  4.46 1
-8.39  0.66  9.91  4.75 1
 1.38 47.37  9.11  2.75 1
71.58 53.60 16.17  4.03 1
-60.84 40.85 18.04  4.80 1
32.65 -16.77  7.37  4.20 1
32.65 -16.77  3.96  2.50 1
-159.20 -53.90 21.98  2.50 1
-159.00 -54.10 24.48  2.50 1
-59.59 41.69  8.96  3.18 1
-59.59 41.69 17.20  4.11 1
