x y z std sst
62.64 -0.40  2.78  2.50 0
-58.20 42.22  8.87  4.25 1
-58.20 42.22 10.44  2.50 1
-93.23 48.88 25.80  5.20 0
153.27 -63.21 22.17  2.50 0
153.27 -63.21 17.17  2.90 0
-1.64 50.38 20.06  2.50 0
-168.97 -65.56 30.54  2.50 1
-9.73 46.29  6.92  2.64 1
-9.73 46.29 18.14  2.50 1
-8.98 -27.19  6.40  2.50 1
 7.27 55.99 15.57  2.50 0
-73.14 35.76  7.06  2.50 0
66.91 82.81 29.33  2.50 0
-58.29 41.80  8.79  2.60 1
-167.63 19.59  2.28  2.50 1
-148.24  4.66  2.68  2.50 1
-2.16  2.99  1.18  2.50 1
-2.16  2.99  4.52  2.50 1
10.28 51.55 14.62  2.50 0
31.85 -17.27  3.61  3.20 1
-89.27 34.97 11.77  5.20 0
-58.01 42.23  5.17  3.18 1
