x y z std sst
-3.75 35.93  0.91  2.50 1
62.64 -0.40  2.78  2.50 0
-58.20 42.22  8.87  4.25 1
-58.20 42.22 10.44  2.50 1
-58.20 42.22 16.33  3.91 1
-93.23 48.88 25.80  5.20 0
153.27 -63.21 22.17  2.50 0
153.27 -63.21 17.17  2.90 0
-1.64 50.38 20.06  2.50 0
-168.97 -65.56 15.62  2.50 1
-168.97 -65.56 30.54  2.50 1
-9.73 46.29  6.92  2.64 1
-9.73 46.29 18.14  2.50 1
-8.98 -27.19 -6.38  2.50 1
-8.98 -27.19  6.40  2.50 1
-13.97 47.90 12.40  2.50 1
-168.72 19.26 -8.34  2.50 1
 7.27 55.99 15.57  2.50 0
 7.27 55.99  8.07  3.78 1
-73.14 35.76  7.06  2.50 0
-2.16  2.99  7.49  4.45 1
-2.16  2.99  7.51  4.37 1
66.91 82.81 29.33  2.50 0
-58.29 41.80  8.79  2.60 1
159.91 -69.46 26.79  4.02 1
-167.63 19.59 -7.70  2.50 1
-167.63 19.59  2.28  2.50 1
-4.35 -60.59 11.72  2.50 1
-6.04 -61.35 10.55  3.34 1
-148.24  4.66 -7.95  2.50 1
-148.24  4.66  2.68  2.50 1
-148.24  4.66  1.31  2.50 1
-8.92  0.82  8.58  4.59 1
-2.16  2.99  1.18  2.50 1
-2.16  2.99  8.27  4.53 1
-2.16  2.99  4.52  2.50 1
71.74 54.11  8.62  3.84 1
10.28 51.55 14.62  2.50 0
10.28 51.55  9.57  3.90 1
31.85 -17.27  3.61  3.20 1
-89.27 34.97 11.77  5.20 0
-58.01 42.23  5.17  3.18 1
-58.01 42.23 14.30  3.82 1
