x y z std sst
-58.20 42.22 13.99  3.52 1
-58.20 42.22 13.19  3.16 1
-58.20 42.22 24.31  4.73 1
-168.97 -65.56 31.93  3.37 1
-9.73 46.29 11.43  2.84 1
-9.73 46.29 11.43  2.84 1
-9.73 46.29 18.00  2.64 1
-8.98 -27.19  7.05  3.25 1
 7.27 55.99 23.67  4.21 1
-73.70 36.41 19.09  4.70 1
-2.16  2.99 14.00  5.26 1
-2.16  2.99 10.84  4.73 1
66.91 82.81 25.45  4.40 1
-107.39 43.24  8.71  2.50 1
-158.25 -56.82 34.26  4.95 1
-58.29 41.80 13.45  3.19 1
159.91 -69.46 34.93  4.76 1
-167.63 19.59  6.28  3.47 1
-148.24  4.66  2.92  3.34 1
-8.92  0.82 15.57  5.48 1
71.74 54.11 20.13  4.28 1
10.28 51.55 18.40  4.24 1
31.85 -17.27  7.02  5.64 1
-107.12 42.96  9.52  2.50 1
-58.01 42.23 14.90  2.50 1
-58.01 42.23 25.52  4.87 1
