site,timeslice,temperature,proxy,lat,lon,mlat,mlon,plat,plon,5,50,95,sd,mean minus reported error,mean plus reported error,deepmip lower error,deepmip upper error,min,max,v1,v2,v3,v4,v5,v6
alamedilla,lp,sst,del18O,37.58,-3.24,35.93,-3.75,25.58,1.57,19.49,20.47,21.34,0.68,-999.9,-999.9,19.49,21.34,18.96,22.14,1,0,1,1,1,1
alamedilla,petm,sst,del18O,37.58,-3.24,35.93,-3.75,25.58,1.57,19.67,20.21,20.99,0.56,-999.9,-999.9,19.67,20.99,19.58,21.07,1,0,1,1,1,1
ampe quarry,eeco,sst,del47,51.01,3.23,49.58,2.7,39.95,5.32,28.63,29.8,30.97,1.83,27.3,32.4,27.3,32.4,28.5,31.1,1,1,1,1,1,1
Barsingsar Kasnau Matasukh,lp,lat,gdgtlignite,27.8,73.2,-0.4,62.64,-3.87,68.72,28.07,28.44,28.87,0.45,28.07,28.81,28.07,28.81,28.03,28.92,1,1,1,1,1,1
bass river,lp,sst,del18O,39.61,-74.44,42.22,-58.2,35.19,-46.33,17.93,22.48,26.43,2.8,-999.9,-999.9,17.93,26.43,16.53,27.59,1,1,1,1,1,1
bass river,lp,sst,mgca,39.61,-74.44,42.22,-58.2,35.19,-46.33,21.08,24.05,27.28,1.58,-999.9,-999.9,21.08,27.28,19.47,29.89,1,1,1,1,1,1
bass river,lp,sst,tex86,39.61,-74.44,42.22,-58.2,35.19,-46.33,23.18,29.94,36.02,1.05,-999.9,-999.9,23.18,36.02,21.18,37.55,1,1,0,1,1,1
bass river,petm,sst,del18O,39.61,-74.44,42.22,-58.2,35.19,-46.33,24.43,27.6,31.47,2.58,-999.9,-999.9,24.43,31.47,23.79,33.85,1,1,1,1,1,1
bass river,petm,sst,mgca,39.61,-74.44,42.22,-58.2,35.19,-46.33,21.68,26.8,32.03,1.95,-999.9,-999.9,21.68,32.03,19.19,37,1,1,1,1,1,1
bass river,petm,sst,tex86,39.61,-74.44,42.22,-58.2,35.19,-46.33,30.36,37.92,45.86,1.08,-999.9,-999.9,30.36,45.86,28.45,48.14,1,1,0,1,1,1
